Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Assessing Variation in Implantable Cardioverter Defibrillator Therapy Guideline Adherence With Physician and Hospital Patient-sharing Networks.,Moen EL; Bynum JP; Austin AM; Skinner JS; Chakraborti G; O'Malley AJ,"BACKGROUND: Implantable cardioverter defibrillator (ICD) therapy is used for primary prevention of death among people with heart failure, and new evidence in 2005 on its effectiveness changed practice guidelines in the United States. OBJECTIVES: The objective of this study is to examine how the connectedness of physicians and hospitals, measured using network analysis, relates to guideline-consistent ICD implantation. RESEARCH DESIGN: We constructed physician and hospital networks for cardiovascular disease. Physicians were linked if they shared cardiovascular disease patients; these links were aggregated by hospital affiliation to construct a hospital network. SUBJECTS: Medicare beneficiaries who underwent ICD therapy for primary prevention from 2007 to 2011. MEASURES: The clinical outcome of interest was guideline-consistent ICD implantation, calculated using the National Cardiovascular Data Registry. The exposure variables of interest were the network measures of the ICD surgeon, the referring hospital, and the hospital where the ICD surgery occurred. RESULTS: We focused on patients who were referred between hospitals for ICD implantation because they were more likely influenced by the hospital network (n=28,179). Patients were less likely to meet guidelines if their referring hospital had more connections to other hospitals (OR, 0.49; 95% confidence interval, 0.25-0.96) and more likely to meet guidelines if their ICD surgery hospital had more connections (OR, 1.61; 95% confidence interval, 0.98-2.64). The ICD surgeon's network measures were not associated with guideline-consistent implantation. CONCLUSIONS: Associations between the hospital network measures and guideline adherence suggests new approaches to better disseminate clinical guidelines across health systems.",2018,Apr,Med Care,56,4,350-357,,10.1097/MLR.0000000000000883,29419707,#255,Moen 2018,"",""
The Role of Nursing Homes in the Spread of Antimicrobial Resistance Over the Healthcare Network.,van den Dool C; Haenen A; Leenstra T; Wallinga J,"OBJECTIVE Recerntly, the role of the healthcare network, defined as a set of hospitals linked by patient transfers, has been increasingly considered in the control of antimicrobial resistance. Here, we investigate the potential impact of nursing homes on the spread of antimicrobial-resistant pathogens across the healthcare network and its importance for control strategies. METHODS Based on patient transfer data, we designed a network model representing the Dutch healthcare system of hospitals and nursing homes. We simulated the spread of an antimicrobial-resistant pathogen across the healthcare network, and we modeled transmission within institutions using a stochastic susceptible-infected-susceptible (SIS) epidemic model. Transmission between institutions followed transfers. We identified the contribution of nursing homes to the dispersal of the pathogen by comparing simulations of the network with and without nursing homes. RESULTS Our results strongly suggest that nursing homes in the Netherlands have the potential to drive and sustain epidemics across the healthcare network. Even when the daily probability of transmission in nursing homes is much lower than in hospitals, transmission of resistance can be more effective because of the much longer length of stay of patients in nursing homes. CONCLUSIONS If an antimicrobial-resistant pathogen emerges that spreads easily within nursing homes, control efforts aimed at hospitals may no longer be effective in preventing nationwide outbreaks. It is important to consider nursing homes in planning regional and national infection control and in implementing surveillance systems that monitor the spread of antimicrobial resistance. Infect Control Hosp Epidemiol 2016;37:761-767.",2016,Jul,Infect Control Hosp Epidemiol,37,7,761-7,,10.1017/ice.2016.59,27052880,#275,vandenDool 2016,"",""
Whole-Genome Sequencing To Identify Drivers of Carbapenem-Resistant Klebsiella pneumoniae Transmission within and between Regional Long-Term Acute-Care Hospitals.,Han JH; Lapp Z; Bushman F; Lautenbach E; Goldstein EJC; Mattei L; Hofstaedter CE; Kim D; Nachamkin I; Garrigan C; Jain T; Bilker W; Wolford HM; Slayton RB; Wise J; Tolomeo P; Snitkin ES,"Carbapenem-resistant Klebsiella pneumoniae (CRKP) is an antibiotic resistance threat of the highest priority. Given the limited treatment options for this multidrug-resistant organism (MDRO), there is an urgent need for targeted strategies to prevent transmission. Here, we applied whole-genome sequencing to a comprehensive collection of clinical isolates to reconstruct regional transmission pathways and analyzed this transmission network in the context of statewide patient transfer data and patient-level clinical data to identify drivers of regional transmission. We found that high regional CRKP burdens were due to a small number of regional introductions, with subsequent regional proliferation occurring via patient transfers among health care facilities. While CRKP was predicted to have been imported into each facility multiple times, there was substantial variation in the ratio of intrafacility transmission events per importation, indicating that amplification occurs unevenly across regional facilities. While myriad factors likely influence intrafacility transmission rates, an understudied one is the potential for clinical characteristics of colonized and infected patients to influence their propensity for transmission. Supporting the contribution of high-risk patients to elevated transmission rates, we observed that patients colonized and infected with CRKP in high-transmission facilities had higher rates of carbapenem use, malnutrition, and dialysis and were older. This report highlights the potential for regional infection prevention efforts that are grounded in genomic epidemiology to identify the patients and facilities that make the greatest contribution to regional MDRO prevalence, thereby facilitating the design of precision interventions of maximal impact.",2019,Nov,Antimicrob Agents Chemother,63,11,,,10.1128/AAC.01622-19,31451495,#283,Han 2019,"",""
Ward-level factors associated with methicillin-resistant Staphylococcus aureus acquisition-an electronic medical records study in Singapore.,Tun ZM; Fisher DA; Salmon S; Tam CC,"BACKGROUND: Methicillin-Resistant Staphylococcus aureus (MRSA) is endemic in hospitals worldwide. Intrahospital transfers may impact MRSA acquisition risk experienced by patients. In this study, we investigated ward characteristics and connectivity that are associated with MRSA acquisition. METHODS: We analysed electronic medical records on patient transfers and MRSA screening of in-patients at an acute-care tertiary hospital in Singapore to investigate whether ward characteristics and connectivity within a network of in-patient wards were associated with MRSA acquisition rates over a period of four years. RESULTS: Most patient transfers concentrated in a stable core network of wards. Factors associated with increased rate of MRSA acquisition were MRSA prevalence among patients transferred from other wards (rate ratio (RR): 7.74 [95% confidence interval (CI): 3.88, 15.44], additional 5 percentage point), critical care ward (RR: 1.72 [95% CI: 1.09, 2.70]) and presence of MRSA cohorting beds (RR: 1.39 [95% CI: 1.03, 1.90]. Oncology ward (RR: 0.66 [95% CI: 0.46, 0.94]) (compared to medical ward), and median length of stay (RR: 0.70 [95% CI: 0.55, 0.90], additional 1.5 days) were associated with lower acquisition rates. In addition, we found evidence of interaction between MRSA prevalence among patients transferred from other wards and weighted in-degree although the latter was not associated with MRSA acquisition after controlling for confounders. CONCLUSION: Wards with higher MRSA prevalence among patients transferred from other wards were more likely to have higher MRSA acquisition rate. Its effect further increased in wards receiving greater number of patients. In addition, critical care ward, presence of MRSA cohorting beds, ward specialty, and median length of stay were associated with MRSA acquisition.",2021,,PLoS One,16,7,e0254852,,10.1371/journal.pone.0254852,34292998,#317,Tun 2021,"",""
Uncharted paths: hospital networks in critical care.,Iwashyna TJ; Christie JD; Kahn JM; Asch DA,"Wide variation between hospitals in the quality of critical care lead to many potentially avoidable deaths. Regionalization of critical care is a possible solution; regionalization has been implemented for trauma and neonatal intensive care, and it is under active discussion for medical and cardiac critical care. However, regionalization is only one possible approach to reorganizing critical care services. This commentary introduces the technique of network analysis as a framework for the following: (1) understanding how critically ill patients move between hospitals, (2) defining the roles hospitals play in regional care delivery, and (3) suggesting systematic improvements that may benefit population health. We examined transfers of critically ill Medicare patients in Connecticut in 2005 as a model system. We found that patients are systematically transferred to more capable hospitals. However, we find the standard distinction of hospitals into either ""secondary hospitals"" or ""tertiary hospitals"" poorly explains observed transfer patterns; instead, hospitals show a continuum of roles. We further examine the implications of the network pattern in a simulation of quarantine of a hospital to incoming transfers, as occurred during the severe acute respiratory syndrome epidemic. Network perspectives offer new ways to study systems to care for critically ill patients and provide additional tools for addressing pragmatic problems in triage and bed management, regionalization, quality improvement, and disaster preparedness.",2009,Mar,Chest,135,3,827-833,,10.1378/chest.08-1052,19265091,#341,Iwashyna 2009,"",""
The structure of critical care transfer networks.,Iwashyna TJ; Christie JD; Moody J; Kahn JM; Asch DA,"RATIONALE: Moving patients from low-performing hospitals to high-performing hospitals may improve patient outcomes. These transfers may be particularly important in critical care, where small relative improvements can yield substantial absolute changes in survival. OBJECTIVE: To characterize the existing critical care network in terms of the pattern of transfers. METHODS: In a retrospective cohort study, the nationwide 2005 Medicare fee-for-service claims were used to identify the interhospital transfer of critically ill patients, defined as instances where patients used critical care services in 2 temporally adjacent hospitalizations. MEASUREMENTS: We measured the characteristics of the interhospital transfer network and the extent to which intensive care unit patients are referred to each hospital in that network--a continuous quantitative measure at the hospital-level known as centrality. We evaluated associations between hospital centrality and organizational, medical, surgical, and radiologic capabilities. RESULTS: There were 47,820 transfers of critically ill patients among 3308 hospitals. 4.5% of all critical care stays of any length involved an interhospital critical care transfer. Hospitals transferred out to a mean of 4.4 other hospitals. More central hospital positions were associated with multiple indicators of increased capability. Hospital characteristics explained 40.7% of the variance in hospitals' centrality. CONCLUSIONS: Critical care transfers are common, and traverse an informal but structured network. The centrality of a hospital is associated with increased capability in delivery of services, suggesting that existing transfers generally direct patients toward better resourced hospitals. Studies of this network promise further improvements in patient outcomes and efficiency of care.",2009,Jul,Med Care,47,7,787-93,,10.1097/MLR.0b013e318197b1f5,19536030,#342,Iwashyna 2009,"",""
Monitoring interhospital transfers in Western Greece during 2003-2011: its role in health policy.,Alexopoulos EC; Kalyva A; Merekoulias G; Niakas D,"INTRODUCTION: Interhospital transfers (ITs) could provide insight into regional healthcare efficiency and evidence for policy-making. The aim of this study was to analyse ITs carried out in the Western Greece region over a nine-year period. METHODS: Archives of the National Center of Emergency Medical Services of Patras and official healthcare resources were used to analyze patient transfers from rural to 'reception' hospitals in the area, during the period 2003-2011, by hospital, medical, seasonal and population variations. RESULTS: A total of 2500 ITs from the eight rural hospitals to the central ones in the metropolitan area of Patras were monitored yearly. Transfer rates per population ranged between less than 0.3% and more than 1.0%. Only a few patients transferred outside the area (0.9%). Almost 10% of total transfers regarded diagnostic evaluation (mostly CT scan). Transfer rates were inversely related to hospital admission rates (Pearson -0.973, p=0.027), while time (in minutes) (Pearson -0.903, =0.036) and distance (in kilometers) between the rural and central hospitals (Pearson -0.907, p=0.034) also exhibited significant relationships. The level of understaffing does not have a clear effect on ITs. CONCLUSIONS: By monitoring ITs, it becomes evident where efforts should be prioritized and which of the interconnections should be optimized in a specific network of health care. In this case, interventions should be focused towards the (a) very high transfer rates from the general hospital (GH) of Aigio, (b) lack of orthopedists at GH Kalavryta, which could provide a 24 hour emergency service in a tourist ski area, (c) understaffing in the microbiological laboratory and lack of a CT scanner at GH Mesologi, and (d) lack of radiologists in several hospitals, rendering the installed equipment worthless. By monitoring the ITs, real needs and win-win actions may emerge in the complex interplay of infrastructural factors.",2015,Oct-Dec,Rural Remote Health,15,4,3228,,,26458418,#356,Alexopoulos 2015,"",""
Evaluating Movement of Patients With Carbapenem-resistant Enterobacteriaceae Infections in the Greater Atlanta Metropolitan Area Using Social Network Analysis.,Bower CW; Fridkin DW; Wolford HM; Slayton RB; Kubes JN; Jacob JT; Ray SM; Fridkin SK,"BACKGROUND: Carbapenem-resistant Enterobacteriaceae (CRE) are an urgent threat with potential for rapid spread. We evaluated the role of Medicare patient movement between facilities to model the spread of CRE within a region. METHODS: Through population-based CRE surveillance in the 8-county Atlanta (GA) metropolitan area, all Escherichia coli, Enterobacter spp., or Klebsiella spp. resistant to ≥1 carbapenem were reported from residents. CRE was attributed to a facility based on timing of culture and facility exposures. Centrality metrics were calculated from 2016 Medicare data and compared to CRE-transfer derived centrality metrics by Spearman correlation. RESULTS: During 2016, 283 incident CRE cases with concurrent or prior year facility stays were identified; cases were attributed mostly to acute care hospitals (ACHs; 141, 50%) and skilled nursing facilities (SNFs; 113, 40%), and less frequently to long-term acute care hospitals (LTACHs; 29, 10%). Attribution was widespread, originating at 17 of 20 ACHs (85%), 7 of 8 (88%) LTACHs, but only 35 of 65 (54%) SNFs. Betweenness of Medicare patient transfers strongly correlated with betweenness of CRE case-transfer data in ACHs (r = 0.75; P < .01) and LTACHs (r = 0.77; P = .03), but not in SNFs (r = 0.02; P = 0.85). We noted 6 SNFs with high CRE-derived betweenness but low Medicare-derived betweenness. CONCLUSIONS: CRE infections originate from almost all ACHs and half of SNFs. We identified a subset of SNFs central to the CRE transfer network but not the Medicare transfer network; other factors may explain CRE patient movement in these facilities.",2020,Jan,Clin Infect Dis,70,1,75-81,,10.1093/cid/ciz154,30809636,#392,Bower 2020,"",""
Population genetic structuring of methicillin-resistant Staphylococcus aureus clone EMRSA-15 within UK reflects patient referral patterns.,Donker T; Reuter S; Scriberras J; Reynolds R; Brown NM; Török ME; James R; Network EOEMR; Aanensen DM; Bentley SD; Holden MTG; Parkhill J; Spratt BG; Peacock SJ; Feil EJ; Grundmann H,"Antibiotic resistance forms a serious threat to the health of hospitalised patients, rendering otherwise treatable bacterial infections potentially life-threatening. A thorough understanding of the mechanisms by which resistance spreads between patients in different hospitals is required in order to design effective control strategies. We measured the differences between bacterial populations of 52 hospitals in the United Kingdom and Ireland, using whole-genome sequences from 1085 MRSA clonal complex 22 isolates collected between 1998 and 2012. The genetic differences between bacterial populations were compared with the number of patients transferred between hospitals and their regional structure. The MRSA populations within single hospitals, regions and countries were genetically distinct from the rest of the bacterial population at each of these levels. Hospitals from the same patient referral regions showed more similar MRSA populations, as did hospitals sharing many patients. Furthermore, the bacterial populations from different time-periods within the same hospital were generally more similar to each other than contemporaneous bacterial populations from different hospitals. We conclude that, while a large part of the dispersal and expansion of MRSA takes place among patients seeking care in single hospitals, inter-hospital spread of resistant bacteria is by no means a rare occurrence. Hospitals are exposed to constant introductions of MRSA on a number of levels: (1) most MRSA is received from hospitals that directly transfer large numbers of patients, while (2) fewer introductions happen between regions or (3) across national borders, reflecting lower numbers of transferred patients. A joint coordinated control effort between hospitals, is therefore paramount for the national control of MRSA, antibiotic-resistant bacteria and other hospital-associated pathogens.",2017,Jul,Microb Genom,3,7,e000113,,10.1099/mgen.0.000113,29026654,#405,Donker 2017,"",""
The importance of nursing homes in the spread of methicillin-resistant Staphylococcus aureus (MRSA) among hospitals.,Lee BY; Bartsch SM; Wong KF; Singh A; Avery TR; Kim DS; Brown ST; Murphy CR; Yilmaz SL; Potter MA; Huang SS,"BACKGROUND: Hospital infection control strategies and programs may not consider control of methicillin-resistant Staphylococcus aureus (MRSA) in nursing homes in a county. METHODS: Using our Regional Healthcare Ecosystem Analyst, we augmented our existing agent-based model of all hospitals in Orange County (OC), California, by adding all nursing homes and then simulated MRSA outbreaks in various health care facilities. RESULTS: The addition of nursing homes substantially changed MRSA transmission dynamics throughout the county. The presence of nursing homes substantially potentiated the effects of hospital outbreaks on other hospitals, leading to an average 46.2% (range, 3.3%-156.1%) relative increase above and beyond the impact when only hospitals are included for an outbreak in OC's largest hospital. An outbreak in the largest hospital affected all other hospitals (average 2.1% relative prevalence increase) and the majority (~90%) of nursing homes (average 3.2% relative increase) after 6 months. An outbreak in the largest nursing home had effects on multiple OC hospitals, increasing MRSA prevalence in directly connected hospitals by an average 0.3% and in hospitals not directly connected through patient transfers by an average 0.1% after 6 months. A nursing home outbreak also had some effect on MRSA prevalence in other nursing homes. CONCLUSIONS: Nursing homes, even those not connected by direct patient transfers, may be a vital component of a hospital's infection control strategy. To achieve effective control, a hospital may want to better understand how regional nursing homes and hospitals are connected through both direct and indirect (with intervening stays at home) patient sharing.",2013,Mar,Med Care,51,3,205-15,,10.1097/MLR.0b013e3182836dc2,23358388,#415,Lee 2013,"",""
Modeling the regional spread and control of vancomycin-resistant enterococci.,Lee BY; Yilmaz SL; Wong KF; Bartsch SM; Eubank S; Song Y; Avery TR; Christie R; Brown ST; Epstein JM; Parker JI; Huang SS,"BACKGROUND: Because patients can remain colonized with vancomycin-resistant enterococci (VRE) for long periods of time, VRE may spread from one health care facility to another. METHODS: Using the Regional Healthcare Ecosystem Analyst, an agent-based model of patient flow among all Orange County, California, hospitals and communities, we quantified the degree and speed at which changes in VRE colonization prevalence in a hospital may affect prevalence in other Orange County hospitals. RESULTS: A sustained 10% increase in VRE colonization prevalence in any 1 hospital caused a 2.8% (none to 62%) average relative increase in VRE prevalence in all other hospitals. Effects took from 1.5 to >10 years to fully manifest. Larger hospitals tended to have greater affect on other hospitals. CONCLUSIONS: When monitoring and controlling VRE, decision makers may want to account for regional effects. Knowing a hospital's connections with other health care facilities via patient sharing can help determine which hospitals to include in a surveillance or control program.",2013,Aug,Am J Infect Control,41,8,668-73,,10.1016/j.ajic.2013.01.013,23896284,#418,Lee 2013,"",""
The spread and control of norovirus outbreaks among hospitals in a region: a simulation model.,Bartsch SM; Huang SS; Wong KF; Avery TR; Lee BY,"BACKGROUND: Because hospitals in a region are connected via patient sharing, a norovirus outbreak in one hospital may spread to others. METHODS: We utilized our Regional Healthcare Ecosystem Analyst software to generate an agent-based model of all the acute care facilities in Orange County (OC), California and simulated various norovirus outbreaks in different locations, both with and without contact precautions. RESULTS: At the lower end of norovirus reproductive rate (R0) estimates (1.64), an outbreak tended to remain confined to the originating hospital (≤6.1% probability of spread). However, at the higher end of R0 (3.74), an outbreak spread 4.1%-17.5% of the time to almost all other OC hospitals within 30 days, regardless of the originating hospital. Implementing contact precautions for all symptomatic cases reduced the probability of spread to other hospitals within 30 days and the total number of cases countywide, but not the number of other hospitals seeing norovirus cases. CONCLUSIONS: A single norovirus outbreak can continue to percolate throughout a system of different hospitals for several months and appear as a series of unrelated outbreaks, highlighting the need for hospitals within a region to more aggressively and cooperatively track and control an initial outbreak.",2014,Sep,Open Forum Infect Dis,1,2,ofu030,,10.1093/ofid/ofu030,25734110,#431,Bartsch 2014,"",""
Dispersal of antibiotic-resistant high-risk clones by hospital networks: changing the patient direction can make all the difference.,Donker T; Wallinga J; Grundmann H,"BACKGROUND: Patients who seek treatment in hospitals can introduce high-risk clones of hospital-acquired, antibiotic-resistant pathogens from previous admissions. In this manner, different healthcare institutions become linked epidemiologically. All links combined form the national patient referral network, through which high-risk clones can propagate. AIM: To assess the influence of changes in referral patterns and network structure on the dispersal of these pathogens. METHODS: Hospital admission data were mapped to reconstruct the English patient referral network, and 12 geographically distinct healthcare collectives were identified. The number of patients admitted and referred to hospitals outside their collective was measured. Simulation models were used to assess the influence of changing network structure on the spread of hospital-acquired pathogens. FINDINGS: Simulation models showed that decreasing the number of between-collective referrals by redirecting, on average, just 1.5 patients/hospital/day had a strong effect on dispersal. By decreasing the number of between-collective referrals, the spread of high-risk clones through the network can be reduced by 36%. Conversely, by creating supra-regional specialist centres that provide specialist care at national level, the rate of dispersal can increase by 48%. CONCLUSION: The structure of the patient referral network has a profound effect on the epidemic behaviour of high-risk clones. Any changes that affect the number of referrals between healthcare collectives, inevitably affect the national dispersal of these pathogens. These effects should be taken into account when creating national specialist centres, which may jeopardize control efforts.",2014,Jan,J Hosp Infect,86,1,34-41,,10.1016/j.jhin.2013.06.021,24075292,#440,Donker 2014,"",""
The relative importance of large problems far away versus small problems closer to home: insights into limiting the spread of antimicrobial resistance in England.,Donker T; Henderson KL; Hopkins KL; Dodgson AR; Thomas S; Crook DW; Peto TEA; Johnson AP; Woodford N; Walker AS; Robotham JV,"BACKGROUND: To combat the spread of antimicrobial resistance (AMR), hospitals are advised to screen high-risk patients for carriage of antibiotic-resistant bacteria on admission. This often includes patients previously admitted to hospitals with a high AMR prevalence. However, the ability of such a strategy to identify introductions (and hence prevent onward transmission) is unclear, as it depends on AMR prevalence in each hospital, the number of patients moving between hospitals, and the number of hospitals considered 'high risk'. METHODS: We tracked patient movements using data from the National Health Service of England Hospital Episode Statistics and estimated differences in regional AMR prevalences using, as an exemplar, data collected through the national reference laboratory service of Public Health England on carbapenemase-producing Enterobacteriaceae (CPE) from 2008 to 2014. Combining these datasets, we calculated expected CPE introductions into hospitals from across the hospital network to assess the effectiveness of admission screening based on defining high-prevalence hospitals as high risk. RESULTS: Based on numbers of exchanged patients, the English hospital network can be divided into 14 referral regions. England saw a sharp increase in numbers of CPE isolates referred to the national reference laboratory over 7 years, from 26 isolates in 2008 to 1649 in 2014. Large regional differences in numbers of confirmed CPE isolates overlapped with regional structuring of patient movements between hospitals. However, despite these large differences in prevalence between regions, we estimated that hospitals received only a small proportion (1.8%) of CPE-colonised patients from hospitals outside their own region, which decreased over time. CONCLUSIONS: In contrast to the focus on import screening based on assigning a few hospitals as 'high risk', patient transfers between hospitals with small AMR problems in the same region often pose a larger absolute threat than patient transfers from hospitals in other regions with large problems, even if the prevalence in other regions is orders of magnitude higher. Because the difference in numbers of exchanged patients, between and within regions, was mostly larger than the difference in CPE prevalence, it would be more effective for hospitals to focus on their own populations or region to inform control efforts rather than focussing on problems elsewhere.",2017,Apr,BMC Med,15,1,86,,10.1186/s12916-017-0844-2,28446169,#449,Donker 2017,"",""
"Modeling the spread of methicillin-resistant Staphylococcus aureus (MRSA) outbreaks throughout the hospitals in Orange County, California.",Lee BY; McGlone SM; Wong KF; Yilmaz SL; Avery TR; Song Y; Christie R; Eubank S; Brown ST; Epstein JM; Parker JI; Burke DS; Platt R; Huang SS,"BACKGROUND: Since hospitals in a region often share patients, an outbreak of methicillin-resistant Staphylococcus aureus (MRSA) infection in one hospital could affect other hospitals. METHODS: Using extensive data collected from Orange County (OC), California, we developed a detailed agent-based model to represent patient movement among all OC hospitals. Experiments simulated MRSA outbreaks in various wards, institutions, and regions. Sensitivity analysis varied lengths of stay, intraward transmission coefficients (β), MRSA loss rate, probability of patient transfer or readmission, and time to readmission. RESULTS: Each simulated outbreak eventually affected all of the hospitals in the network, with effects depending on the outbreak size and location. Increasing MRSA prevalence at a single hospital (from 5% to 15%) resulted in a 2.9% average increase in relative prevalence at all other hospitals (ranging from no effect to 46.4%). Single-hospital intensive care unit outbreaks (modeled increase from 5% to 15%) caused a 1.4% average relative increase in all other OC hospitals (ranging from no effect to 12.7%). CONCLUSION: MRSA outbreaks may rarely be confined to a single hospital but instead may affect all of the hospitals in a region. This suggests that prevention and control strategies and policies should account for the interconnectedness of health care facilities.",2011,Jun,Infect Control Hosp Epidemiol,32,6,562-72,,10.1086/660014,21558768,#466,Lee 2011,"",""
Cross border hospital use: analysis using data linkage across four Australian states.,Spilsbury K; Rosman D; Alan J; Boyd JH; Ferrante AM; Semmens JB,"OBJECTIVE: To determine the quality and effectiveness of national data linkage capacity by performing a proof-of-concept project investigating cross-border hospital use and hospital-related deaths. DESIGN, PARTICIPANTS AND SETTING: Analysis of person-level linked hospital separation and death registration data of all public and private hospital patients in New South Wales, Queensland and Western Australia and of public hospital patients in South Australia, totalling 7.7 million hospital patients from 1 July 2004 to 30 June 2009. MAIN OUTCOME MEASURES: Counts and proportions of hospital stays and patient movement patterns. RESULTS: 223 262 patients (3.0%) travelled across a state border to attend hospitals, in particular, far northern and western NSW patients travelling to Queensland and SA hospitals, respectively. A further 48 575 patients (0.6%) moved their place of residence interstate between hospital visits, particularly to and from areas associated with major mining and tourism industries. Over 11 000 cross-border hospital transfers were also identified. Of patients who travelled across a state border to hospital, 2800 (1.3%) died in that hospital. An additional 496 deaths recorded in one jurisdiction occurred within 30 days of hospital separation from another jurisdiction. CONCLUSIONS: Access to person-level data linked across jurisdictions identified geographical hot spots of cross-border hospital use and hospital-related deaths in Australia. This has implications for planning of health service delivery and for longitudinal follow-up studies, particularly those involving mobile populations.",2015,Jun,Med J Aust,202,11,582-6,,10.5694/mja14.01414,26068690,#702,Spilsbury 2015,Elise Hodbert (2025-01-09 00:18:55)(Select): à revoir; ,""
Critical care transfers and COVID-19: Managing capacity challenges through critical care networks.,Pett E; Leung HL; Taylor E; Chong MSF; Hla TTW; Sartori G; Sathianathan V; Husain T; Suntharalingam G; Rosenberg A; Walsh A; Wigmore T,"The intensive care units in North West London are part of one of the oldest critical care networks in the UK, forming a mature and established strategic alliance to share resources, experience and knowledge for the benefit of its patients. North West London saw an early surge in COVID-19 admissions, which urgently threatened the capacity of some of its intensive care units even before the UK government announced lockdown. The pre-existing relationships and culture within the network allowed its members to unite and work rapidly to develop agile and innovative solutions, protecting any individual unit from becoming overwhelmed, and ultimately protecting its patients. Within a short 50-day period 223 patients were transferred within the network to distribute pressures. This unprecedented number of critical care transfers, combined with the creation of extra capacity and new pathways, allowed the region to continue to offer timely and unrationed access to critical care for all patients who would benefit from admission. This extraordinary response is a testament to the power and benefits of a regionally networked approach to critical care, and the lessons learned may benefit other healthcare providers, managers and policy makers, especially in regions currently facing new outbreaks of COVID-19.",2022,May,J Intensive Care Soc,23,2,203-209,,10.1177/1751143720980270,35615242,#742,Pett 2022,"",""
Investigating the Temporal Dynamics of Interorganizational Exchange: Patient Transfers among Italian Hospitals.,Kitts JA; Lomi A; Mascia D; Pallotti F; Quintane E,"Previous research on interaction behavior among organizations (resource exchange, collaboration, communication) has typically aggregated those behaviors over time as a network of organizational relationships. The authors instead study structural-temporal patterns in organizational exchange, focusing on the dynamics of reciprocation. Applying this lens to a community of Italian hospitals during 2003-7, the authors observe two mechanisms of interorganizational reciprocation: organizational embedding and resource dependence. The authors show how these two mechanisms operate on distinct time horizons: dependence applies to contemporaneous exchange structures, whereas embedding develops through longer-term historical patterns. They also show how these processes operate differently in competitive and non-competitive contexts, operationalized in terms of market differentiation and geographic space. In noncompetitive contexts, the authors observe both logics of reciprocation, dependence in the short term and embedding over the long term, developing into population-level generalized exchange. In competitive contexts, they find no reciprocation and instead observe the microfoundations of status hierarchies.",2017,Nov,AJS,123,3,850-910,,10.1086/693704,34305150,#958,Kitts 2017,"",""
Using hospital network-based surveillance for antimicrobial resistance as a more robust alternative to self-reporting.,Donker T; Smieszek T; Henderson KL; Walker TM; Hope R; Johnson AP; Woodford N; Crook DW; Peto TEA; Walker AS; Robotham JV,"Hospital performance is often measured using self-reported statistics, such as the incidence of hospital-transmitted micro-organisms or those exhibiting antimicrobial resistance (AMR), encouraging hospitals with high levels to improve their performance. However, hospitals that increase screening efforts will appear to have a higher incidence and perform poorly, undermining comparison between hospitals and disincentivising testing, thus hampering infection control. We propose a surveillance system in which hospitals test patients previously discharged from other hospitals and report observed cases. Using English National Health Service (NHS) Hospital Episode Statistics data, we analysed patient movements across England and assessed the number of hospitals required to participate in such a reporting scheme to deliver robust estimates of incidence. With over 1.2 million admissions to English hospitals previously discharged from other hospitals annually, even when only a fraction of hospitals (41/155) participate (each screening at least 1000 of these admissions), the proposed surveillance system can estimate incidence across all hospitals. By reporting on other hospitals, the reporting of incidence is separated from the task of improving own performance. Therefore the incentives for increasing performance can be aligned to increase (rather than decrease) screening efforts, thus delivering both more comparable figures on the AMR problems across hospitals and improving infection control efforts.",2019,,PLoS One,14,7,e0219994,,10.1371/journal.pone.0219994,31344075,#962,Donker 2019,"",""
